iter	RMSE
184	0.3621974085
185	0.361985925
186	0.3618020999
187	0.3615399309
188	0.3614787588
189	0.3613335967
190	0.3609606645
191	0.3607473646
192	0.3605952529
193	0.3604273578
194	0.3603239054
195	0.3601065356
196	0.3600036074
197	0.3598963394
198	0.3598300923
199	0.3596875172
200	0.3594645518
201	0.3593745423
202	0.3592892606
203	0.3589803308
204	0.3587445661
205	0.3586584555
206	0.3585628486
207	0.3584464624
208	0.3583583307
209	0.358259688
210	0.3581758964
211	0.3579932747
212	0.3578500611
213	0.3577100922
214	0.3575910611
215	0.3573786324
216	0.3572704259
217	0.3571677538
218	0.3569911828
219	0.3568615777
220	0.3566752853
221	0.3565126274
222	0.3564541394
223	0.3563218946
224	0.3561334996
225	0.3558676219
226	0.3555307329
227	0.355449279
228	0.355406813
229	0.355322434
230	0.3550646297
231	0.3549415526
232	0.3548397571
233	0.3547250235
234	0.3546523155
235	0.3545472717
236	0.3544618811
237	0.3542691996
238	0.3540671288
239	0.3539837253
240	0.3536961294
241	0.3535314961
242	0.353427103
243	0.3533024729
244	0.3532128847
245	0.3531194627
246	0.3529646588
247	0.3528478907
248	0.3526697045
249	0.3525902695
250	0.3525261151
251	0.3524353179
252	0.3521816454
253	0.3520848096
254	0.3520198609
255	0.3519361599
256	0.3518489995
257	0.351741902
258	0.3516970178
259	0.3516163941
260	0.3513400143
261	0.3512511189
262	0.3510585066
263	0.350929558
264	0.3506053211
265	0.3505482326
266	0.35032915
267	0.3502041305
268	0.350139768
269	0.3500456195
270	0.3499705675
271	0.3498483441
272	0.3497482412
273	0.3496272271
274	0.349496488
275	0.349272827
276	0.3491326099
277	0.3490609069
278	0.3488615178
279	0.3486559349
280	0.3485623218
281	0.348468047
282	0.3483974792
283	0.3482770544
284	0.3481734429
285	0.3480897309
286	0.3479769189
287	0.3479120372
288	0.3478029601
289	0.3475806809
290	0.3474313207
291	0.3472350426
292	0.3471343307
293	0.3470707684
294	0.3469833484
295	0.3469403736
296	0.346857255
297	0.3468157903
298	0.3466346346
299	0.3465015565
300	0.3464131907
301	0.3463280773
302	0.3462761972
303	0.3462039607
304	0.3461063575
305	0.346025279
306	0.3459344124
307	0.3458443925
308	0.34577891
309	0.3457034126
310	0.3456490684
311	0.3454511894
312	0.3454235383
313	0.345235696
314	0.3451961974
315	0.3451323924
316	0.3450761546
317	0.3450132923
318	0.3449320784
319	0.3448989714
320	0.3446714273
321	0.344550204
322	0.3444741943
323	0.3443456522
324	0.344264343
325	0.3439663639
326	0.3439060815
327	0.3438289638
328	0.3436539462
329	0.34358153
330	0.3435304728
331	0.3433385214
332	0.3431012348
333	0.3430437906
334	0.3429896429
335	0.3428644092
336	0.3426021577
337	0.3424283491
338	0.342338519
339	0.3422693701
340	0.3422056834
341	0.3421211932
342	0.34205538
343	0.3419849928
344	0.3418033084
345	0.3417481148
346	0.3416967965
347	0.3416290606
348	0.3415068317
349	0.3413409039
350	0.3412690002
351	0.3412164722
352	0.3411470296
353	0.3410814146
354	0.3410190673
355	0.3409380727
356	0.3408160823
357	0.3407529134
358	0.3405578827
359	0.3404897579
360	0.3402931156
361	0.3402089882
362	0.340125209
363	0.3400274579
364	0.3399607487
365	0.3399039888
366	0.3397406509
367	0.3395713853
368	0.3394970282
369	0.3394363025
370	0.3393753331
371	0.3392309456
372	0.3391165683
373	0.339066098
374	0.3389912863
375	0.3388373071
376	0.3386591503
377	0.3385808117
378	0.3385424454
379	0.3383778966
380	0.3383062453
381	0.3382508881
382	0.3381908098
383	0.3381348082
384	0.3379724087
385	0.337911783
386	0.3378216698
387	0.3377811189
388	0.3377231305
389	0.3376678775
390	0.3375647412
391	0.3375015648
392	0.3374605659
393	0.3372752678
394	0.3370242978
395	0.3369349737
396	0.3368356771
397	0.3366930344
398	0.3366502138
399	0.3365898695
